file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P04_L2_04a,0.0,2.054,corpus,-48.96855945121951,-50.30417733443411,10.376612914144948,7.4884855743573375
P05_L2_69b,0.0,1.751625,corpus,-48.18482700892857,-49.357954597473146,10.222712587721471,13.698936106980593
P05_L1_69b,0.0,1.665625,corpus,-48.55101515718563,-48.589111709594725,10.005803567692901,12.293706535269994
P01_L1_28a,0.0,1.7863541666666667,corpus,-51.280879015363126,-53.946504031910614,9.619889589569802,2.997781568218997
P04_L2_27a,0.0,2.032875,corpus,-45.836938115763544,-48.38988767351423,9.45402499813569,9.291744390241313
P01_L1_69a,0.0,2.012770833333333,corpus,-46.12236182369403,-45.92869911193848,9.179599644428233,10.201825903394866
P04_L1_27a,0.0,2.982625,corpus,-48.64986301908557,-48.88107644943964,8.863163305024313,10.879665728724646
P02_L1_88a,0.0,1.7954791666666667,corpus,-44.4948974609375,-47.51416517558851,8.171005890691204,6.4084563333180355
P02_L1_11a,0.0,2.1690833333333335,corpus,-46.33879968317972,-47.021668885883535,8.115381705815766,7.279295496791242
P01_L2_88b,0.0,1.7931666666666666,corpus,-43.85589974685754,-44.58157208091334,8.108404716941399,15.66746620205021
P01_L2_86a,0.0,1.8806458333333333,corpus,-44.947624044215424,-47.32006313926295,7.656728699353614,10.84094122606777
P04_L1_65b,0.0,2.301625,corpus,-49.10830502717391,-49.422731482464336,7.643780241175598,8.157749379002034
P05_L1_06b,0.0,1.890625,corpus,-45.268136160714285,-46.44074389809057,7.498195750094057,9.518730635816073
P01_L1_67b,0.0,1.9600208333333333,corpus,-46.295539700255105,-47.34779739379883,7.211135210328411,5.466047912835908
P01_L2_37b,0.0,2.0535,corpus,-46.766796875,-47.628964042663576,7.0159025771166785,12.85898434617193
P04_L1_88b,0.0,1.6854375,corpus,-46.16659058339497,-46.934612675717005,6.81635960387919,13.02804926253512
P01_L2_27a,0.0,1.711125,corpus,-47.24047423245614,-48.46996761503674,6.699621758608859,12.45827030363203
P01_L2_88a,0.0,1.7494375,corpus,-43.59370256696429,-46.16544603046618,6.653939908224704,9.492235750808057
P04_L1_02b,0.0,1.9693125,corpus,-48.95744269511421,-49.31558666229248,6.538554736616304,9.781876701636614
P04_L1_24a,0.0,1.955625,corpus,-46.45318478954081,-47.177595038163034,6.532683612670767,10.824339172975606
P04_L1_60b,0.0,2.3294375,corpus,-46.20662050697425,-49.621846816119024,6.409346391032291,11.235542896682354
P04_L1_64a,0.0,2.0473125,corpus,-50.18325076219512,-50.93462619781494,6.333585077388159,10.389867833494495
P01_L2_69a,0.0,1.6485,corpus,-46.08868667140152,-46.85482749938965,6.133103580423296,14.286755410247679
P04_L1_05b,0.0,1.920125,corpus,-46.49671427408854,-46.68012936909994,6.044953489610408,11.496471888908012
P04_L2_48a,0.0,2.132625,corpus,-46.35261241930751,-47.59602701096308,6.037816840428541,10.828773667961833
P02_L1_69b,0.0,1.5184375,corpus,-46.61125424033717,-47.005408668518065,5.769333208083402,10.727789390389777
P04_L1_33a,0.0,2.22575,corpus,-46.95533211883408,-48.214487838745114,5.75632276202264,11.116438860311462
P04_L2_46b,0.0,1.983375,corpus,-46.338571259469695,-45.96390031513415,5.667474982444906,13.055112074143537
P05_L2_86b,0.0,1.46425,corpus,-48.190493230950345,-48.75297626696135,5.6179468126378875,13.167248148659759
P01_L1_27b,0.0,1.9394583333333333,corpus,-45.9727065882732,-48.02341007051014,5.571693759490345,10.186123748025825
P04_L1_85a,0.0,1.7488125,corpus,-46.747494419642855,-47.78201554950915,5.569869813615002,14.274707126049542
P01_L2_38b,0.0,2.5098333333333334,corpus,-45.5386812126494,-49.66055850982666,5.569869813615002,12.609587269886124
P01_L1_13b,0.0,2.25675,corpus,-48.36166084762168,-49.33815484297903,5.569869813615002,7.392616412250039
P04_L1_40a,0.0,2.4994375,corpus,-46.822578125,-47.81227613750257,5.549071627006772,10.52440300099537
P04_L2_73b,0.0,1.9975625,corpus,-50.72611328125,-53.71714458465576,5.467690314054905,11.388161316365359
P02_L2_02b,0.0,1.6383958333333333,corpus,-49.462965058117376,-47.65635719299316,5.45790404543161,14.003736308998345
P04_L2_89b,0.0,2.128,corpus,-49.1731816681338,-48.71574575250799,5.280665674238751,10.450497718208396
P01_L1_88b,0.0,2.1319791666666665,corpus,-43.68572568221831,-44.84766528480932,5.280663950435833,9.942641733293176
P01_L1_06a,0.0,1.64825,corpus,-50.034250710227276,-52.00220208418997,5.268278626778464,12.680494648038362
P04_L2_65b,0.0,2.069125,corpus,-49.07779476147343,-49.478940217391305,5.255358523597802,10.023929879246797
P04_L2_02b,0.0,2.1175625,corpus,-50.3875893646816,-49.34215316772461,5.24793574241318,12.428594222187801
P02_L2_38b,0.0,1.8325416666666667,corpus,-48.168571764002735,-47.352429962158205,5.214888526934558,10.785546217718572
P01_L2_73b,0.0,2.230541666666667,corpus,-48.96944191423767,-49.41897850036621,5.193392337671776,12.5211773233804
P01_L2_56b,0.0,1.9537708333333332,corpus,-45.630553886217946,-46.38511615329318,5.193390525755963,15.218468412570175
P04_L1_54a,0.0,2.053,corpus,-47.132212271341466,-47.914314671566615,5.193390525755963,13.163593841521823
P04_L1_53a,0.0,1.85275,corpus,-48.55506228885135,-48.50848134358724,5.193390525755963,8.707119382932198
P04_L1_26a,0.0,2.4185625,corpus,-48.726546358471076,-48.66017931983585,5.193390525755963,9.638770274213723
P04_L1_37a,0.0,2.1163125,corpus,-47.824333910672166,-48.41259937286377,5.18109424961356,10.728954865183589
P01_L2_67a,0.0,1.9842916666666666,corpus,-47.09872652304293,-48.05013446807861,5.161125063483334,14.863416950930304
P01_L1_26b,0.0,2.105375,corpus,-46.78148604117298,-48.81100917997814,4.991459811059583,9.609545691395244
P02_L1_47b,0.0,1.4675,corpus,-48.10581087903912,-47.04772716098361,4.991446827020391,11.682181027052632
P04_L1_05a,0.0,2.0426875,corpus,-48.431099685968135,-47.98056835598416,4.967995630439197,14.359251489541947
P02_L1_23a,0.0,1.7245,corpus,-49.24473678234012,-50.38684723593972,4.865783050061999,9.23963813591066
P02_L1_41a,0.0,1.5025625,corpus,-49.111904296875,-49.525857289632164,4.83392060094875,13.347994325450056
P03_L2_69a,0.0,1.612,corpus,-46.89586871603261,-46.091980361938475,4.813583764234239,8.714884119391616
P05_L1_38a,0.0,2.0175,corpus,-49.24317856590346,-49.44676246643066,4.770031879911004,10.890406224954944
P04_L2_70a,0.0,2.1054375,corpus,-49.86905731635071,-49.684939002990724,4.770026182813621,7.41111849490909
P01_L2_41a,0.0,1.9965208333333333,corpus,-45.228056640625,-45.53323300679525,4.770026182813621,13.319520797872208
P04_L1_27b,0.0,1.5898125,corpus,-46.65647417944182,-46.382996513730006,4.769169882100215,8.768503235620706
P03_L1_67b,0.0,1.5478125,corpus,-44.63778666834678,-45.988882064819336,4.71502998354872,6.57001925052591
P01_L1_75b,0.0,2.0945833333333335,corpus,-45.57044800388756,-46.974227057562935,4.702252224077497,6.497216478202198
P04_L1_31b,0.0,1.93675,corpus,-47.811317050579895,-47.98791022049753,4.702252224077497,10.49345612508748
P01_L2_36b,0.0,2.2246041666666665,corpus,-43.78018985782658,-46.197424507141115,4.702252224077497,13.88219684978639
P05_L2_85b,0.0,1.485375,corpus,-48.98794371329698,-47.01987818667763,4.701177760886121,13.098128192710593
P04_L1_45a,0.0,2.0964375,corpus,-49.449288504464285,-49.4807697095369,4.701177760886121,8.992067049041744
P04_L1_21b,0.0,1.4350625,corpus,-48.664886474609375,-48.07919057210287,4.701175505670622,9.58799100130592
P04_L1_52a,0.0,1.85275,corpus,-48.91298036317568,-49.02043432938425,4.701175505670622,10.471868931809013
