file,pid,list,item,variant,tense,target_verb,verb_start,verb_end,n_verb_syll,exp_verb_syll,n_w1_syll,exp_w1_syll,n_noun_syll,exp_noun_syll,key_noun,stress_start,stress_end,exp_verb_key,n_total_syll,exp_total_syll,audio_dur,aligned_span,flags
P01_L1_01a,P01,1,1,a,present,busca,0.59,0.93,2,2,1,1,2,2,due-ño,0.59,0.79,BUS-ca,8,8,1.556,1.34,
P01_L1_01b,P01,1,1,b,past,buscó,0.61,0.94,2,2,1,1,2,2,due-ño,0.79,0.94,bus-CÓ,8,8,1.423,1.26,
P01_L1_02a,P01,1,2,a,present,limpia,0.66,1.08,2,2,1,1,2,2,clo-ro,0.66,0.91,LIM-pia,8,8,1.63,1.52,
P01_L1_02b,P01,1,2,b,past,limpió,0.56,0.97,2,2,1,1,2,2,clo-ro,0.76,0.97,lim-PIÓ,8,8,1.582,1.51,
P01_L1_03a,P01,1,3,a,present,planta,0.54,0.87,2,2,1,1,2,2,hi-jo,0.54,0.77,PLAN-ta,8,8,1.389,1.2,
P01_L1_03b,P01,1,3,b,past,plantó,0.39,0.83,2,2,1,1,2,2,hi-jo,0.7,0.83,plan-TÓ,8,8,1.437,1.29,
P01_L1_04a,P01,1,4,a,present,filtra,0.66,1.19,2,2,1,1,2,2,gri-fo,0.66,1.04,FIL-tra,8,8,1.642,1.53,
P01_L1_04b,P01,1,4,b,past,filtró,0.64,1.2,2,2,1,1,2,2,gri-fo,1.01,1.2,fil-TRÓ,8,8,1.736,1.58,
P01_L1_05a,P01,1,5,a,present,monta,0.54,1.04,2,2,1,1,2,2,tí-o,0.54,0.8,MON-ta,9,10,2.046,1.99,"total_syllable_count_mismatch(got 9,exp 10)"
P01_L1_05b,P01,1,5,b,past,montó,0.51,0.9,2,2,1,1,2,2,tí-o,0.76,0.9,mon-TÓ,9,10,1.67,1.6,"total_syllable_count_mismatch(got 9,exp 10)"
P01_L1_06a,P01,1,6,a,present,canta,0.51,0.81,2,2,1,1,2,2,a-ve,0.51,0.73,CAN-ta,8,8,1.648,1.588,
P01_L1_06b,P01,1,6,b,past,cantó,0.49,0.89,2,2,1,1,2,2,a-ve,0.72,0.89,can-TÓ,8,8,1.778,1.43,
P01_L1_07a,P01,1,7,a,present,junta,0.74,1.13,2,2,1,1,2,2,jo-ven,0.74,1.03,JUN-ta,9,9,1.759,1.55,
P01_L1_07b,P01,1,7,b,past,juntó,0.67,1.09,2,2,1,1,2,2,jo-ven,0.91,1.09,jun-TÓ,9,9,1.896,1.56,
P01_L1_08a,P01,1,8,a,present,marca,0.72,1.11,2,2,1,1,2,2,o-sa,0.72,1.0,MAR-ca,8,8,1.752,1.53,
P01_L1_08b,P01,1,8,b,past,marcó,0.64,1.01,2,2,1,1,2,2,o-sa,0.88,1.01,mar-CÓ,8,8,1.628,1.36,
P01_L1_09a,P01,1,9,a,present,mezcla,0.64,1.05,2,2,1,1,2,2,rí-o,0.64,0.87,MEZ-cla,9,9,1.731,1.48,
P01_L1_09b,P01,1,9,b,past,mezcló,0.5,0.96,2,2,1,1,2,2,rí-o,0.72,0.96,mez-CLÓ,9,9,1.711,1.31,
P01_L1_10a,P01,1,10,a,present,sopla,0.57,0.94,2,2,1,1,2,2,sue-gro,0.57,0.79,SO-pla,8,8,1.422,1.36,
P01_L1_10b,P01,1,10,b,past,sopló,0.7,1.07,2,2,1,1,2,2,sue-gro,0.91,1.07,so-PLÓ,8,8,1.484,1.28,
P01_L1_11a,P01,1,11,a,present,culpa,0.77,1.08,2,2,1,1,2,2,yer-no,0.77,0.94,CUL-pa,8,8,1.607,1.38,
P01_L1_11b,P01,1,11,b,past,culpó,0.52,0.9,2,2,1,1,2,2,yer-no,0.68,0.9,cul-PÓ,8,8,1.381,1.35,
P01_L1_12a,P01,1,12,a,present,mancha,0.58,0.88,2,2,1,1,2,2,tin-ta,0.58,0.75,MAN-cha,9,9,1.508,1.39,
P01_L1_12b,P01,1,12,b,past,manchó,0.59,0.92,2,2,1,1,2,2,tin-ta,0.77,0.92,man-CHÓ,9,9,1.649,1.44,
P01_L1_13a,P01,1,13,a,present,gasta,0.67,0.95,2,2,1,1,2,2,do-ña,0.67,0.88,GAS-ta,9,9,1.333,1.193,
P01_L1_13b,P01,1,13,b,past,gastó,0.87,1.54,2,2,1,1,2,2,do-ña,1.22,1.54,gas-TÓ,9,9,2.257,2.16,
P01_L1_14a,P01,1,14,a,present,salta,0.92,1.36,2,2,1,1,2,2,pe-rra,0.92,1.24,SAL-ta,8,8,2.138,1.62,
P01_L1_14b,P01,1,14,b,past,saltó,0.75,1.16,2,2,1,1,2,2,pe-rra,0.99,1.16,sal-TÓ,8,8,1.933,1.47,
P01_L1_15a,P01,1,15,a,present,corta,1.51,1.81,2,2,1,1,2,2,cú-ter,1.51,1.73,COR-ta,9,9,2.549,2.04,
P01_L1_15b,P01,1,15,b,past,cortó,1.04,1.44,2,2,1,1,2,2,cú-ter,1.32,1.44,cor-TÓ,9,9,2.097,1.73,
P01_L1_16a,P01,1,16,a,present,busca,0.94,1.3,2,2,1,1,2,2,ni-ña,0.94,1.18,BUS-ca,8,8,1.85,1.58,
P01_L1_16b,P01,1,16,b,past,buscó,0.76,1.22,2,2,1,1,2,2,ni-ña,0.98,1.22,bus-CÓ,8,8,1.891,1.43,
P01_L1_17a,P01,1,17,a,present,limpia,0.59,0.93,2,2,1,1,2,2,ma-dre,0.59,0.81,LIM-pia,8,8,1.563,1.39,
P01_L1_17b,P01,1,17,b,past,limpió,0.61,1.08,2,2,1,1,2,2,ma-dre,0.84,1.08,lim-PIÓ,8,8,1.727,1.45,
P01_L1_18a,P01,1,18,a,present,planta,0.92,1.27,2,2,1,1,2,2,hi-ja,0.92,1.18,PLAN-ta,7,7,1.882,1.29,"duration_gap(audio 1.88s,aligned 1.29s)"
