file,pid,list,item,variant,tense,target_verb,verb_start,verb_end,n_verb_syllables,stressed_syll_idx,syll1_start,syll1_end,syll1_label,syll2_start,syll2_end,syll2_label,syll3_start,syll3_end,syll3_label,syll4_start,syll4_end,syll4_label
P01_L1_01a,P01,1,1,a,present,busca,0.59,0.93,2,0,0.59,0.79,bus,0.79,0.93,ka,,,,,,
P01_L1_01b,P01,1,1,b,past,buscó,0.61,0.94,2,1,0.61,0.79,bus,0.79,0.94,ko,,,,,,
P01_L1_02a,P01,1,2,a,present,limpia,0.66,1.08,2,0,0.66,0.91,lim,0.91,1.08,pja,,,,,,
P01_L1_02b,P01,1,2,b,past,limpió,0.56,0.97,2,1,0.56,0.76,lim,0.76,0.97,pjo,,,,,,
P01_L1_03a,P01,1,3,a,present,planta,0.54,0.87,2,0,0.54,0.77,plan,0.77,0.87,t̪a,,,,,,
P01_L1_03b,P01,1,3,b,past,plantó,0.39,0.83,2,1,0.39,0.7,plan,0.7,0.83,t̪o,,,,,,
P01_L1_04a,P01,1,4,a,present,filtra,0.66,1.19,2,0,0.66,1.04,filt̪,1.04,1.19,ɾa,,,,,,
P01_L1_04b,P01,1,4,b,past,filtró,0.64,1.2,2,1,0.64,1.01,filt̪,1.01,1.2,ɾo,,,,,,
P01_L1_05a,P01,1,5,a,present,monta,0.54,1.04,2,0,0.54,0.8,mon,0.8,1.04,t̪a,,,,,,
P01_L1_05b,P01,1,5,b,past,montó,0.51,0.9,2,1,0.51,0.76,mon,0.76,0.9,t̪o,,,,,,
P01_L1_06a,P01,1,6,a,present,canta,0.51,0.81,2,0,0.51,0.73,kan,0.73,0.81,t̪a,,,,,,
P01_L1_06b,P01,1,6,b,past,cantó,0.49,0.89,2,1,0.49,0.72,kan,0.72,0.89,t̪o,,,,,,
P01_L1_07a,P01,1,7,a,present,junta,0.74,1.13,2,0,0.74,1.03,xun,1.03,1.13,t̪a,,,,,,
P01_L1_07b,P01,1,7,b,past,juntó,0.67,1.09,2,1,0.67,0.91,xun,0.91,1.09,t̪o,,,,,,
P01_L1_08a,P01,1,8,a,present,marca,0.72,1.11,2,0,0.72,1.0,mar,1.0,1.11,ka,,,,,,
P01_L1_08b,P01,1,8,b,past,marcó,0.64,1.01,2,1,0.64,0.88,mar,0.88,1.01,ko,,,,,,
P01_L1_09a,P01,1,9,a,present,mezcla,0.64,1.05,2,0,0.64,0.87,meθ,0.87,1.05,kla,,,,,,
P01_L1_09b,P01,1,9,b,past,mezcló,0.5,0.96,2,1,0.5,0.72,meθ,0.72,0.96,klo,,,,,,
P01_L1_10a,P01,1,10,a,present,sopla,0.57,0.94,2,0,0.57,0.79,so,0.79,0.94,pla,,,,,,
P01_L1_10b,P01,1,10,b,past,sopló,0.7,1.07,2,1,0.7,0.91,so,0.91,1.07,plo,,,,,,
P01_L1_11a,P01,1,11,a,present,culpa,0.77,1.08,2,0,0.77,0.94,kul,0.94,1.08,pa,,,,,,
P01_L1_11b,P01,1,11,b,past,culpó,0.52,0.9,2,1,0.52,0.68,kul,0.68,0.9,po,,,,,,
P01_L1_12a,P01,1,12,a,present,mancha,0.58,0.88,2,0,0.58,0.75,man,0.75,0.88,tʃa,,,,,,
P01_L1_12b,P01,1,12,b,past,manchó,0.59,0.92,2,1,0.59,0.77,man,0.77,0.92,tʃo,,,,,,
P01_L1_13a,P01,1,13,a,present,gasta,0.67,0.95,2,0,0.67,0.88,ɡas,0.88,0.95,t̪a,,,,,,
P01_L1_13b,P01,1,13,b,past,gastó,0.87,1.54,2,1,0.87,1.22,ɡas,1.22,1.54,t̪o,,,,,,
P01_L1_14a,P01,1,14,a,present,salta,0.92,1.36,2,0,0.92,1.24,sal,1.24,1.36,t̪a,,,,,,
P01_L1_14b,P01,1,14,b,past,saltó,0.75,1.16,2,1,0.75,0.99,sal,0.99,1.16,t̪o,,,,,,
P01_L1_15a,P01,1,15,a,present,corta,1.51,1.81,2,0,1.51,1.73,kor,1.73,1.81,t̪a,,,,,,
P01_L1_15b,P01,1,15,b,past,cortó,1.04,1.44,2,1,1.04,1.32,kor,1.32,1.44,t̪o,,,,,,
P01_L1_16a,P01,1,16,a,present,busca,0.94,1.3,2,0,0.94,1.18,bus,1.18,1.3,ka,,,,,,
P01_L1_16b,P01,1,16,b,past,buscó,0.76,1.22,2,1,0.76,0.98,bus,0.98,1.22,ko,,,,,,
P01_L1_17a,P01,1,17,a,present,limpia,0.59,0.93,2,0,0.59,0.81,lim,0.81,0.93,pja,,,,,,
P01_L1_17b,P01,1,17,b,past,limpió,0.61,1.08,2,1,0.61,0.84,lim,0.84,1.08,pjo,,,,,,
P01_L1_18a,P01,1,18,a,present,planta,0.92,1.27,2,0,0.92,1.18,plan,1.18,1.27,t̪a,,,,,,
P01_L1_18b,P01,1,18,b,past,plantó,0.91,1.25,2,1,0.91,1.12,plan,1.12,1.25,t̪o,,,,,,
P01_L1_19a,P01,1,19,a,present,filtra,0.87,1.35,2,0,0.87,1.21,filt̪,1.21,1.35,ɾa,,,,,,
P01_L1_19b,P01,1,19,b,past,filtró,0.97,1.43,2,1,0.97,1.31,filt̪,1.31,1.43,ɾo,,,,,,
P01_L1_20a,P01,1,20,a,present,monta,0.77,1.11,2,0,0.77,1.01,mon,1.01,1.11,t̪a,,,,,,
P01_L1_20b,P01,1,20,b,past,montó,0.68,1.11,2,1,0.68,0.94,mon,0.94,1.11,t̪o,,,,,,
P01_L1_21a,P01,1,21,a,present,canta,0.8,1.17,2,0,0.8,1.04,kan,1.04,1.17,t̪a,,,,,,
P01_L1_21b,P01,1,21,b,past,cantó,0.66,1.03,2,1,0.66,0.87,kan,0.87,1.03,t̪o,,,,,,
P01_L1_22a,P01,1,22,a,present,junta,0.6,0.96,2,0,0.6,0.87,xun,0.87,0.96,t̪a,,,,,,
P01_L1_22b,P01,1,22,b,past,juntó,0.55,0.94,2,1,0.55,0.8,xun,0.8,0.94,t̪o,,,,,,
P01_L1_23a,P01,1,23,a,present,marca,0.8,1.17,2,0,0.8,1.09,mar,1.09,1.17,ka,,,,,,
P01_L1_23b,P01,1,23,b,past,marcó,0.6,1.0,2,1,0.6,0.86,mar,0.86,1.0,ko,,,,,,
P01_L1_24a,P01,1,24,a,present,mezcla,0.53,0.95,2,0,0.53,0.78,meθ,0.78,0.95,kla,,,,,,
P01_L1_24b,P01,1,24,b,past,mezcló,0.51,0.99,2,1,0.51,0.75,meθ,0.75,0.99,klo,,,,,,
P01_L1_25a,P01,1,25,a,present,sopla,0.54,0.9,2,0,0.54,0.76,so,0.76,0.9,pla,,,,,,
P01_L1_25b,P01,1,25,b,past,sopló,0.51,0.98,2,1,0.51,0.77,so,0.77,0.98,plo,,,,,,
P01_L1_26a,P01,1,26,a,present,culpa,0.65,0.95,2,0,0.65,0.82,kul,0.82,0.95,pa,,,,,,
P01_L1_26b,P01,1,26,b,past,culpó,0.57,1.09,2,1,0.57,0.74,kul,0.74,1.09,po,,,,,,
P01_L1_27a,P01,1,27,a,present,mancha,0.37,0.65,2,0,0.37,0.59,man,0.59,0.65,tʃa,,,,,,
P01_L1_27b,P01,1,27,b,past,manchó,0.67,1.06,2,1,0.67,0.94,man,0.94,1.06,tʃo,,,,,,
P01_L1_28a,P01,1,28,a,present,gasta,1.11,1.39,2,0,1.11,1.29,ɡas,1.29,1.39,t̪a,,,,,,
P01_L1_28b,P01,1,28,b,past,gastó,0.69,1.0,2,1,0.69,0.92,ɡas,0.92,1.0,t̪o,,,,,,
P01_L1_29a,P01,1,29,a,present,salta,0.76,1.21,2,0,0.76,1.07,sal,1.07,1.21,t̪a,,,,,,
P01_L1_29b,P01,1,29,b,past,saltó,0.64,1.01,2,1,0.64,0.9,sal,0.9,1.01,t̪o,,,,,,
P01_L1_30a,P01,1,30,a,present,corta,0.77,1.06,2,0,0.77,0.94,kor,0.94,1.06,t̪a,,,,,,
P01_L1_30b,P01,1,30,b,past,cortó,0.57,1.07,2,1,0.57,0.87,kor,0.87,1.07,t̪o,,,,,,
P01_L1_31a,P01,1,31,a,present,busca,0.72,1.06,2,0,0.72,0.93,bus,0.93,1.06,ka,,,,,,
P01_L1_31b,P01,1,31,b,past,buscó,0.59,0.96,2,1,0.59,0.79,bus,0.79,0.96,ko,,,,,,
P01_L1_32a,P01,1,32,a,present,limpia,0.6,1.0,2,0,0.6,0.82,lim,0.82,1.0,pja,,,,,,
P01_L1_32b,P01,1,32,b,past,limpió,0.64,1.04,2,1,0.64,0.85,lim,0.85,1.04,pjo,,,,,,
P01_L1_33a,P01,1,33,a,present,planta,0.79,1.08,2,0,0.79,1.0,plan,1.0,1.08,t̪a,,,,,,
P01_L1_33b,P01,1,33,b,past,plantó,0.66,1.03,2,1,0.66,0.9,plan,0.9,1.03,t̪o,,,,,,
P01_L1_34a,P01,1,34,a,present,filtra,0.69,1.06,2,0,0.69,0.97,filt̪,0.97,1.06,ɾa,,,,,,
P01_L1_34b,P01,1,34,b,past,filtró,0.85,1.3,2,1,0.85,1.15,filt̪,1.15,1.3,ɾo,,,,,,
P01_L1_35a,P01,1,35,a,present,monta,0.62,0.98,2,0,0.62,0.89,mon,0.89,0.98,t̪a,,,,,,
P01_L1_35b,P01,1,35,b,past,montó,0.83,1.3,2,1,0.83,1.12,mon,1.12,1.3,t̪o,,,,,,
