syll_tag,condition,n,dur_ms,dur_se,f0_st,intensity
Art,a,900,168.9777777777778,1.5346931612511834,8.917225631794434,56.66657967440874
Art,b,900,167.9444444444445,1.4135567392490063,8.89165765127066,56.59995703780214
N-s1,a,900,181.39999999999998,2.0728411358543957,9.258235902480521,57.875144444444445
N-s1,b,900,179.76666666666668,2.1020941703750378,9.34449892527775,57.69659722222222
N-s2,a,900,157.04444444444445,1.714853365246256,10.897281837537758,58.174746666666664
N-s2,b,900,147.5333333333333,1.6884098937605985,11.103603610094531,58.19229555555555
V-s1,a,900,228.17777777777772,1.7683870131556492,10.001022523505345,55.77660888888889
V-s1,b,900,220.6333333333334,1.696594114883191,9.716338066779285,55.22593
V-s2,a,900,126.90000000000005,1.4829192699674913,9.90135240848743,54.10467
V-s2,b,900,143.65555555555557,1.5473705862959433,9.333976902865349,54.11649
